mu lambda fil_frac
0.510000 0.62 0.60
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.40
0.510000 0.62 0.80
0.510000 0.62 0.70
0.510000 0.62 0.60
0.510000 0.62 0.40
0.510000 0.62 0.70
0.510000 0.62 0.50
0.510000 0.62 0.90
0.510000 0.62 0.30
0.510000 0.62 0.80
0.510000 0.62 0.20
0.510000 0.62 0.40
0.510000 0.62 0.20
0.510000 0.62 0.10
0.510000 0.62 0.90
0.510000 0.62 0.40
0.510000 0.62 0.80
0.510000 0.62 0.90
0.510000 0.62 0.20
0.510000 0.62 0.40
0.510000 0.62 0.10
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.70
0.510000 0.62 0.80
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.60
0.510000 0.62 0.50
0.510000 0.62 0.20
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.40
0.510000 0.62 0.10
0.510000 0.62 0.70
0.510000 0.62 0.70
0.510000 0.62 0.70
0.510000 0.62 0.60
0.510000 0.62 0.30
0.510000 0.62 0.10
0.510000 0.62 0.70
0.510000 0.62 0.00
0.510000 0.62 0.60
0.510000 0.62 0.60
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.70
0.510000 0.62 0.40
0.510000 0.62 0.30
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.00
0.510000 0.62 0.00
0.510000 0.62 0.00
0.510000 0.62 0.80
0.510000 0.62 0.00
0.510000 0.62 0.60
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.00
0.510000 0.62 0.10
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.20
0.510000 0.62 0.40
0.510000 0.62 0.40
0.510000 0.62 0.90
0.510000 0.62 0.30
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.90
0.510000 0.62 0.20
0.510000 0.62 0.60
0.510000 0.62 0.60
0.510000 0.62 0.80
0.510000 0.62 0.50
0.510000 0.62 0.80
0.510000 0.62 0.70
0.510000 0.62 0.80
0.510000 0.62 0.40
0.510000 0.62 0.00
0.510000 0.62 0.00
0.510000 0.62 0.50
0.510000 0.62 0.70
0.510000 0.62 0.50
0.510000 0.62 0.60
0.510000 0.62 0.60
0.510000 0.62 0.80
0.510000 0.62 0.20
0.510000 0.62 0.80
0.510000 0.62 0.20
0.510000 0.62 0.30
0.510000 0.62 0.90
0.510000 0.62 0.80
0.510000 0.62 0.20
0.510000 0.62 0.50
0.510000 0.62 0.90
0.510000 0.62 0.70
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.70
0.510000 0.62 0.40
0.510000 0.62 0.80
0.510000 0.62 0.30
0.510000 0.62 0.30
0.510000 0.62 0.70
0.510000 0.62 0.80
0.510000 0.62 0.80
0.510000 0.62 0.70
0.510000 0.62 0.60
0.510000 0.62 0.20
0.510000 0.62 0.30
0.510000 0.62 0.20
0.510000 0.62 0.80
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.10
0.510000 0.62 0.20
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.40
0.510000 0.62 0.30
0.510000 0.62 0.40
0.510000 0.62 0.10
0.510000 0.62 0.60
0.510000 0.62 0.70
0.510000 0.62 0.20
0.510000 0.62 0.10
0.510000 0.62 0.10
0.510000 0.62 0.00
0.510000 0.62 0.60
0.510000 0.62 0.80
0.510000 0.62 0.40
0.510000 0.62 0.00
0.510000 0.62 0.30
0.510000 0.62 0.80
0.510000 0.62 0.80
0.510000 0.62 0.50
0.510000 0.62 0.40
0.510000 0.62 0.20
0.510000 0.62 0.10
0.510000 0.62 0.40
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.40
0.510000 0.62 0.40
0.510000 0.62 0.30
0.510000 0.62 0.20
0.510000 0.62 0.40
0.510000 0.62 0.40
0.510000 0.62 0.50
0.510000 0.62 0.10
0.510000 0.62 0.90
0.510000 0.62 0.90
0.510000 0.62 0.40
0.510000 0.62 0.50
0.510000 0.62 0.80
0.510000 0.62 0.00
0.510000 0.62 0.70
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.20
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.70
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.80
0.510000 0.62 0.10
0.510000 0.62 0.90
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.40
0.510000 0.62 0.20
0.510000 0.62 0.60
0.510000 0.62 0.20
0.510000 0.62 0.10
0.510000 0.62 0.20
0.510000 0.62 0.90
0.510000 0.62 0.90
0.510000 0.62 0.70
0.510000 0.62 0.20
0.510000 0.62 0.20
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.70
0.510000 0.62 0.40
0.510000 0.62 0.00
0.510000 0.62 0.00
0.510000 0.62 0.20
0.510000 0.62 0.90
0.510000 0.62 0.70
0.510000 0.62 0.50
0.510000 0.62 0.50
0.510000 0.62 0.00
0.510000 0.62 0.40
0.510000 0.62 0.70
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.80
0.510000 0.62 0.80
0.510000 0.62 0.10
0.510000 0.62 0.30
0.510000 0.62 0.90
0.510000 0.62 0.80
0.510000 0.62 0.40
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.60
0.510000 0.62 0.50
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.60
0.510000 0.62 0.40
0.510000 0.62 0.70
0.510000 0.62 0.50
0.510000 0.62 0.20
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.10
0.510000 0.62 0.80
0.510000 0.62 0.10
0.510000 0.62 0.50
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.80
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.10
0.510000 0.62 0.60
0.510000 0.62 0.60
0.510000 0.62 0.10
0.510000 0.62 0.30
0.510000 0.62 0.10
0.510000 0.62 0.80
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.90
0.510000 0.62 0.10
0.510000 0.62 0.30
0.510000 0.62 0.90
0.510000 0.62 0.00
0.510000 0.62 0.90
0.510000 0.62 0.90
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.30
0.510000 0.62 0.30
0.510000 0.62 0.50
0.510000 0.62 0.60
0.510000 0.62 0.20
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.10
0.510000 0.62 0.20
0.510000 0.62 0.30
0.510000 0.62 0.80
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.00
0.510000 0.62 0.70
0.510000 0.62 0.70
0.510000 0.62 0.70
0.510000 0.62 0.60
0.510000 0.62 0.70
0.510000 0.62 0.90
0.510000 0.62 0.30
0.510000 0.62 0.60
0.510000 0.62 0.10
0.510000 0.62 0.70
0.510000 0.62 0.30
0.510000 0.62 0.00
0.510000 0.62 0.40
0.510000 0.62 0.80
0.510000 0.62 0.60
0.510000 0.62 0.70
0.510000 0.62 0.60
0.510000 0.62 0.10
0.510000 0.62 0.40
0.510000 0.62 0.70
0.510000 0.62 0.90
0.510000 0.62 0.50
0.510000 0.62 0.40
0.510000 0.62 0.20
0.510000 0.62 0.20
0.510000 0.62 0.00
0.510000 0.62 0.50
0.510000 0.62 0.80
