nfib vfrac angle ratio mu lambda
40 0.32 0.0 1.75 0.7670214534732863 0.62
50 0.4 0.0 2.00 0.2779539540258205 0.62
20 0.16 0.0 1.50 1.2594447828927453 0.62
20 0.16 0.0 2.00 2.234658576299335 0.62
60 0.48 0.0 2.00 1.9134959365643336 0.62
30 0.24 0.0 1.00 0.9710968439621899 0.62
10 0.08 0.0 1.00 2.287302575680274 0.62
40 0.32 0.0 2.50 1.959565815767559 0.62
10 0.08 0.0 1.50 0.8941300630645884 0.62
10 0.08 0.0 2.25 2.320873332985973 0.62
60 0.48 0.0 2.50 1.16962758784915 0.62
60 0.48 0.0 1.75 1.000812538798705 0.62
50 0.4 0.0 1.75 0.885176127984478 0.62
20 0.16 0.0 1.50 2.3291592867213806 0.62
40 0.32 0.0 2.00 1.9509796920195779 0.62
30 0.24 0.0 2.50 2.01409260150126 0.62
40 0.32 0.0 2.00 1.671160217292329 0.62
50 0.4 0.0 1.25 1.9002551992301127 0.62
60 0.48 0.0 1.75 0.12809231737138382 0.62
20 0.16 0.0 1.25 1.1510873367300036 0.62
60 0.48 0.0 1.25 2.0233662458445982 0.62
60 0.48 0.0 2.00 2.3488970648764154 0.62
30 0.24 0.0 2.25 1.3810339788606696 0.62
40 0.32 0.0 1.25 1.7876115199665834 0.62
30 0.24 0.0 2.00 2.4323368124871143 0.62
70 0.56 0.0 1.25 1.4677954972199523 0.62
70 0.56 0.0 2.00 1.5556225519743543 0.62
60 0.48 0.0 1.75 1.1652805982291357 0.62
10 0.08 0.0 2.50 0.8260709488891392 0.62
20 0.16 0.0 1.00 1.8098969698866243 0.62
40 0.32 0.0 1.75 1.2427798126450824 0.62
50 0.4 0.0 2.50 0.19401176862360364 0.62
60 0.48 0.0 1.25 0.6758208075372393 0.62
60 0.48 0.0 1.75 2.48423556899402 0.62
40 0.32 0.0 1.75 1.9134427388973165 0.62
30 0.24 0.0 1.25 1.514041689614366 0.62
20 0.16 0.0 2.25 0.7954539823102267 0.62
30 0.24 0.0 1.25 0.3006837665419966 0.62
30 0.24 0.0 1.25 1.7207966520422402 0.62
70 0.56 0.0 1.75 0.9308700263589998 0.62
20 0.16 0.0 1.25 2.2519503902425497 0.62
60 0.48 0.0 2.00 2.437866003419276 0.62
60 0.48 0.0 2.50 2.0136187590232635 0.62
70 0.56 0.0 1.75 1.056075834075498 0.62
20 0.16 0.0 1.50 0.9639434835834619 0.62
40 0.32 0.0 1.00 1.037715720008858 0.62
50 0.4 0.0 1.50 1.9642397244127778 0.62
40 0.32 0.0 2.25 1.405077563389752 0.62
40 0.32 0.0 1.25 2.0973757264808968 0.62
70 0.56 0.0 1.00 1.1352962108106606 0.62
50 0.4 0.0 2.25 1.1209729822774877 0.62
60 0.48 0.0 2.50 1.9385717599337087 0.62
60 0.48 0.0 1.00 1.4880307406644828 0.62
10 0.08 0.0 1.75 0.19008856088088827 0.62
50 0.4 0.0 2.00 1.0095857570795446 0.62
50 0.4 0.0 1.00 0.7507621392042728 0.62
30 0.24 0.0 1.50 0.27788147759619164 0.62
10 0.08 0.0 2.25 0.18657768120055754 0.62
60 0.48 0.0 2.00 1.2632643171633027 0.62
30 0.24 0.0 2.50 0.441712999897132 0.62
70 0.56 0.0 2.50 0.7409462531222997 0.62
50 0.4 0.0 1.50 0.5720212024202869 0.62
40 0.32 0.0 1.25 1.2033626807397646 0.62
10 0.08 0.0 1.50 2.3892361923028513 0.62
20 0.16 0.0 1.50 1.033552185203938 0.62
50 0.4 0.0 1.75 0.45674262887763006 0.62
70 0.56 0.0 1.75 1.4959017281266591 0.62
40 0.32 0.0 1.50 0.2613048830351229 0.62
50 0.4 0.0 1.50 0.14331739213295075 0.62
60 0.48 0.0 2.50 1.7201554394142948 0.62
40 0.32 0.0 1.25 1.580060933545294 0.62
30 0.24 0.0 1.75 1.5789518558516844 0.62
30 0.24 0.0 1.75 0.9807660857881662 0.62
70 0.56 0.0 2.50 0.8560411269174135 0.62
70 0.56 0.0 1.50 2.1175243011908407 0.62
70 0.56 0.0 1.25 1.4748675405535017 0.62
30 0.24 0.0 2.00 0.951556461693619 0.62
70 0.56 0.0 2.50 1.7513529472448974 0.62
20 0.16 0.0 2.25 1.8159499940352701 0.62
70 0.56 0.0 1.75 1.752437736930692 0.62
10 0.08 0.0 1.75 1.7496217020669307 0.62
20 0.16 0.0 2.00 2.1908881251713894 0.62
30 0.24 0.0 2.50 1.392839903969811 0.62
70 0.56 0.0 1.75 1.484975033673698 0.62
20 0.16 0.0 2.25 2.0296051076179036 0.62
30 0.24 0.0 2.25 1.607157348959982 0.62
70 0.56 0.0 2.50 1.184156355391114 0.62
30 0.24 0.0 1.00 0.4964334377980819 0.62
40 0.32 0.0 2.50 1.3518640127727148 0.62
40 0.32 0.0 2.50 1.7466718469355638 0.62
10 0.08 0.0 1.50 1.640686784257289 0.62
20 0.16 0.0 2.00 2.0388182382244473 0.62
10 0.08 0.0 2.50 2.087100017269542 0.62
10 0.08 0.0 2.00 0.9633514717767128 0.62
70 0.56 0.0 1.75 1.8306650012109262 0.62
70 0.56 0.0 1.25 0.2410753140052898 0.62
20 0.16 0.0 1.50 1.5944506932712619 0.62
50 0.4 0.0 1.75 0.18811456117794312 0.62
20 0.16 0.0 2.00 2.3271206141580127 0.62
50 0.4 0.0 1.25 1.2985821094850216 0.62
10 0.08 0.0 2.00 2.308663647593583 0.62
30 0.24 0.0 1.25 1.3713349472575147 0.62
30 0.24 0.0 1.25 1.5435182237572587 0.62
10 0.08 0.0 2.25 0.7870356327015844 0.62
70 0.56 0.0 1.75 0.978153464749658 0.62
50 0.4 0.0 1.75 1.4690193002322742 0.62
60 0.48 0.0 2.25 1.4751359255700447 0.62
30 0.24 0.0 2.25 1.294786139462985 0.62
40 0.32 0.0 2.50 2.495979898167919 0.62
40 0.32 0.0 2.00 0.9881631988849228 0.62
40 0.32 0.0 1.25 2.24420818775069 0.62
40 0.32 0.0 2.00 1.3144260650784159 0.62
70 0.56 0.0 1.00 1.2935798147708404 0.62
50 0.4 0.0 1.25 2.4459899646887218 0.62
10 0.08 0.0 2.50 1.0434313424281154 0.62
20 0.16 0.0 1.50 2.153155112604023 0.62
70 0.56 0.0 2.50 1.7795429124874087 0.62
40 0.32 0.0 1.00 0.8768961815103902 0.62
30 0.24 0.0 1.50 0.6012954947779952 0.62
10 0.08 0.0 1.75 2.425301979649275 0.62
10 0.08 0.0 1.50 2.1603449347826507 0.62
60 0.48 0.0 2.50 2.243703985364435 0.62
50 0.4 0.0 2.00 0.8854860983309951 0.62
40 0.32 0.0 2.50 0.24219683920730328 0.62
50 0.4 0.0 1.25 0.5877461256451463 0.62
40 0.32 0.0 1.50 1.0696697878145782 0.62
10 0.08 0.0 1.75 0.8935568441842324 0.62
20 0.16 0.0 1.00 1.0308013818300374 0.62
10 0.08 0.0 1.00 2.2636397131751758 0.62
40 0.32 0.0 1.25 0.9305860017509996 0.62
30 0.24 0.0 1.25 0.12082572996502756 0.62
20 0.16 0.0 1.50 0.7173762457793055 0.62
60 0.48 0.0 2.50 1.4626570743003178 0.62
30 0.24 0.0 1.00 1.9291392960958673 0.62
70 0.56 0.0 1.25 1.5637731882561712 0.62
70 0.56 0.0 2.50 1.8364947137501615 0.62
40 0.32 0.0 2.25 2.0686349513103703 0.62
10 0.08 0.0 1.25 2.217742560790888 0.62
30 0.24 0.0 1.00 1.978601608354976 0.62
20 0.16 0.0 2.00 1.5898812532567532 0.62
60 0.48 0.0 2.50 1.3935784862834455 0.62
70 0.56 0.0 1.50 1.9206352474937107 0.62
50 0.4 0.0 1.50 2.533609695761422 0.62
50 0.4 0.0 1.00 1.3522942587825233 0.62
60 0.48 0.0 2.50 1.9271925962114052 0.62
20 0.16 0.0 1.25 0.37207489763009194 0.62
40 0.32 0.0 1.50 0.5382975980647948 0.62
60 0.48 0.0 1.75 1.4016342602252858 0.62
60 0.48 0.0 2.25 2.5245265657518603 0.62
50 0.4 0.0 2.50 1.7153053265182934 0.62
10 0.08 0.0 2.25 0.48455935739864253 0.62
10 0.08 0.0 2.00 0.46383780799632235 0.62
50 0.4 0.0 1.75 0.11551984161720975 0.62
10 0.08 0.0 2.50 2.2057418070102752 0.62
70 0.56 0.0 1.75 1.1272887014013198 0.62
10 0.08 0.0 1.25 2.397405512650427 0.62
20 0.16 0.0 1.50 0.7927774874819637 0.62
10 0.08 0.0 1.25 0.7234319716521574 0.62
10 0.08 0.0 2.25 2.0807066575586455 0.62
20 0.16 0.0 2.50 0.690349056455852 0.62
70 0.56 0.0 1.50 1.7816423324384902 0.62
60 0.48 0.0 1.50 0.41857279410719783 0.62
60 0.48 0.0 2.00 1.6307710091396466 0.62
50 0.4 0.0 2.25 2.549665780701978 0.62
30 0.24 0.0 1.75 1.8689534476896243 0.62
30 0.24 0.0 1.00 1.418385125704612 0.62
